from_node,to_node,distance
1,2,10
1,3,10
2,1,10
2,4,10
3,1,10
3,4,10
3,5,10
4,2,10
4,3,10
4,6,10
5,3,10
5,6,10
5,7,10
6,4,10
6,5,10
6,8,10
7,5,10
7,8,10
7,19,10
8,6,10
8,7,10
8,9,10
8,20,10
9,8,10
9,10,10
10,9,10
10,11,10
10,22,10
11,10,10
11,12,10
11,23,10
12,11,10
12,13,10
12,24,10
13,12,10
13,14,10
13,25,10
14,13,10
14,15,10
15,14,10
15,16,10
16,15,10
16,17,10
16,28,10
17,16,10
17,18,10
18,17,10
18,30,10
19,7,10
19,31,10
20,8,10
20,21,10
20,32,10
21,20,10
21,22,10
22,10,10
22,21,10
22,23,10
22,33,10
23,11,10
23,22,10
23,24,10
24,12,10
24,23,10
24,25,10
24,34,10
25,13,10
25,24,10
25,26,10
25,35,10
26,25,10
26,27,10
27,26,10
27,28,10
28,16,10
28,27,10
28,29,10
29,28,10
29,30,10
30,18,10
30,29,10
31,19,10
31,36,10
32,20,10
32,37,10
33,22,10
33,38,10
34,24,10
34,39,10
35,25,10
35,40,10
36,31,10
36,37,10
36,41,10
37,32,10
37,36,10
38,33,10
38,42,10
39,34,10
39,43,10
40,35,10
40,44,10
41,36,10
41,45,10
42,38,10
42,48,10
43,39,10
43,50,10
44,40,10
44,51,10
45,41,10
45,52,10
46,47,10
46,53,10
47,46,10
47,48,10
48,42,10
48,47,10
48,49,10
49,48,10
49,50,10
50,43,10
50,49,10
50,51,10
50,54,10
51,44,10
51,50,10
52,45,10
52,56,10
53,46,10
53,57,10
54,50,10
54,55,10
55,54,10
55,58,10
56,52,10
56,57,10
57,53,10
57,56,10
57,59,10
58,55,10
58,60,10
59,57,10
59,61,10
60,58,10
60,62,10
61,59,10
61,72,10
62,60,10
62,63,10
63,62,10
63,64,10
64,63,10
64,65,10
65,64,10
65,66,10
65,80,10
66,65,10
66,67,10
67,66,10
67,68,10
68,67,10
68,69,10
69,68,10
69,70,10
70,69,10
70,71,10
71,70,10
71,86,10
72,61,10
72,73,10
73,72,10
73,74,10
74,73,10
74,75,10
75,74,10
75,76,10
76,75,10
76,77,10
77,76,10
77,78,10
78,77,10
78,79,10
79,78,10
79,80,10
80,65,10
80,79,10
80,81,10
81,80,10
81,82,10
82,81,10
82,83,10
83,82,10
83,84,10
84,83,10
84,85,10
85,84,10
85,86,10
86,71,10
86,85,10
